n:38 mse_avg:2902.13 mse_y:4001.45 mse_u:1349.84 mse_v:57.15 psnr_avg:13.50 psnr_y:12.11 psnr_u:16.83 psnr_v:30.56 
n:39 mse_avg:2886.31 mse_y:3978.90 mse_u:1345.22 mse_v:57.02 psnr_avg:13.53 psnr_y:12.13 psnr_u:16.84 psnr_v:30.57 
n:40 mse_avg:2878.18 mse_y:3968.81 mse_u:1337.49 mse_v:56.38 psnr_avg:13.54 psnr_y:12.14 psnr_u:16.87 psnr_v:30.62 
n:41 mse_avg:2902.06 mse_y:4001.31 mse_u:1349.94 mse_v:57.15 psnr_avg:13.50 psnr_y:12.11 psnr_u:16.83 psnr_v:30.56 
n:42 mse_avg:2882.91 mse_y:3974.67 mse_u:1341.96 mse_v:56.84 psnr_avg:13.53 psnr_y:12.14 psnr_u:16.85 psnr_v:30.58 
n:43 mse_avg:2888.88 mse_y:3982.74 mse_u:1345.22 mse_v:57.12 psnr_avg:13.52 psnr_y:12.13 psnr_u:16.84 psnr_v:30.56 
n:44 mse_avg:2902.01 mse_y:4000.80 mse_u:1351.31 mse_v:57.55 psnr_avg:13.50 psnr_y:12.11 psnr_u:16.82 psnr_v:30.53 
n:45 mse_avg:2890.89 mse_y:3986.49 mse_u:1342.56 mse_v:56.85 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.85 psnr_v:30.58 
n:46 mse_avg:2905.35 mse_y:4006.41 mse_u:1349.28 mse_v:57.18 psnr_avg:13.50 psnr_y:12.10 psnr_u:16.83 psnr_v:30.56 
n:47 mse_avg:2890.82 mse_y:3985.70 mse_u:1345.02 mse_v:57.08 psnr_avg:13.52 psnr_y:12.13 psnr_u:16.84 psnr_v:30.57 
n:48 mse_avg:2898.06 mse_y:3996.10 mse_u:1346.82 mse_v:57.17 psnr_avg:13.51 psnr_y:12.11 psnr_u:16.84 psnr_v:30.56 
n:49 mse_avg:2907.07 mse_y:4009.59 mse_u:1346.93 mse_v:57.08 psnr_avg:13.50 psnr_y:12.10 psnr_u:16.84 psnr_v:30.57 
n:50 mse_avg:2889.81 mse_y:3985.48 mse_u:1340.04 mse_v:56.94 psnr_avg:13.52 psnr_y:12.13 psnr_u:16.86 psnr_v:30.58 
n:51 mse_avg:2894.68 mse_y:3991.95 mse_u:1343.05 mse_v:57.25 psnr_avg:13.51 psnr_y:12.12 psnr_u:16.85 psnr_v:30.55 
n:52 mse_avg:2887.39 mse_y:3983.28 mse_u:1334.53 mse_v:56.71 psnr_avg:13.53 psnr_y:12.13 psnr_u:16.88 psnr_v:30.59 
n:53 mse_avg:2904.92 mse_y:4007.31 mse_u:1343.09 mse_v:57.20 psnr_avg:13.50 psnr_y:12.10 psnr_u:16.85 psnr_v:30.56 
n:54 mse_avg:2893.08 mse_y:3990.18 mse_u:1340.51 mse_v:57.23 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.86 psnr_v:30.55 
n:55 mse_avg:2885.48 mse_y:3980.28 mse_u:1335.03 mse_v:56.71 psnr_avg:13.53 psnr_y:12.13 psnr_u:16.88 psnr_v:30.59 
n:56 mse_avg:2901.23 mse_y:4001.62 mse_u:1343.58 mse_v:57.32 psnr_avg:13.50 psnr_y:12.11 psnr_u:16.85 psnr_v:30.55 
n:57 mse_avg:2884.13 mse_y:3979.22 mse_u:1331.33 mse_v:56.53 psnr_avg:13.53 psnr_y:12.13 psnr_u:16.89 psnr_v:30.61 
n:58 mse_avg:2891.22 mse_y:3987.79 mse_u:1338.98 mse_v:57.14 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.86 psnr_v:30.56 
n:59 mse_avg:2901.12 mse_y:4001.49 mse_u:1343.26 mse_v:57.53 psnr_avg:13.51 psnr_y:12.11 psnr_u:16.85 psnr_v:30.53 
n:60 mse_avg:2883.46 mse_y:3978.68 mse_u:1329.45 mse_v:56.62 psnr_avg:13.53 psnr_y:12.13 psnr_u:16.89 psnr_v:30.60 
n:61 mse_avg:2893.33 mse_y:3991.60 mse_u:1336.34 mse_v:57.27 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.87 psnr_v:30.55 
n:62 mse_avg:2887.87 mse_y:3984.52 mse_u:1332.23 mse_v:56.91 psnr_avg:13.53 psnr_y:12.13 psnr_u:16.89 psnr_v:30.58 
n:63 mse_avg:2902.98 mse_y:4005.01 mse_u:1340.26 mse_v:57.58 psnr_avg:13.50 psnr_y:12.10 psnr_u:16.86 psnr_v:30.53 
n:64 mse_avg:2892.05 mse_y:3990.38 mse_u:1333.55 mse_v:57.23 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.88 psnr_v:30.55 
n:65 mse_avg:2891.03 mse_y:3989.40 mse_u:1331.89 mse_v:56.71 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.89 psnr_v:30.59 
n:66 mse_avg:2904.78 mse_y:4007.71 mse_u:1340.42 mse_v:57.42 psnr_avg:13.50 psnr_y:12.10 psnr_u:16.86 psnr_v:30.54 
n:67 mse_avg:2886.28 mse_y:3983.12 mse_u:1328.69 mse_v:56.51 psnr_avg:13.53 psnr_y:12.13 psnr_u:16.90 psnr_v:30.61 
n:68 mse_avg:2896.46 mse_y:3996.47 mse_u:1336.00 mse_v:56.90 psnr_avg:13.51 psnr_y:12.11 psnr_u:16.87 psnr_v:30.58 
n:69 mse_avg:2907.21 mse_y:4011.01 mse_u:1342.21 mse_v:56.97 psnr_avg:13.50 psnr_y:12.10 psnr_u:16.85 psnr_v:30.57 
n:70 mse_avg:2890.57 mse_y:3988.99 mse_u:1331.12 mse_v:56.35 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.89 psnr_v:30.62 
